STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
USR0000ASLC,"SALCHA ALASKA, AK US",64.59,-146.14,304.8,ALASKA
USC00505464,"LAZY MOUNTAIN, AK US",61.6266,-149.0365,223.4,ALASKA
USC00503285,"GIRDWOOD WWTP, AK US",60.94889,-149.1592,13.1,ALASKA
USC00508731,"STERLING 6 SW, AK US",60.4905,-150.9188,89,ALASKA
USR0000ASKT,"SHAKTOOLIK RIVER ALASKA, AK US",64.6328,-159.9022,563.9,ALASKA
USW00025503,"KING SALMON AIRPORT, AK US",58.68294,-156.65634,20,ALASKA
USW00025624,"COLD BAY AIRPORT, AK US",55.22068,-162.7323,22,ALASKA
USW00025501,"KODIAK AIRPORT, AK US",57.75071,-152.4881,5,ALASKA
USW00000103,"WALES AIRPORT, AK US",65.617,-168.1,7,ALASKA
USC00507513,"PORT ALCAN, AK US",62.6211,-141.006,576.7,ALASKA
USW00000102,"BOB BARKER MEMORIAL AIRPORT, AK US",66.983,-160.433,51.2,ALASKA
USR0000ASKI,"SKILAK GUARD STATION ALASKA, AK US",60.4839,-150.4606,179.8,ALASKA
US1AKMS0012,"TALKEETNA 7.6 S, AK US",62.227249,-150.073073,116.7,ALASKA
US1AKMS0015,"MEADOW LAKES 1.0 WSW, AK US",61.61624,-149.627693,103.9,ALASKA
USR0000ACOT,"COTTONWOOD ALASKA, AK US",65.3458,-155.9361,399.3,ALASKA
USR0000ARMC,"RAM CREEK ALASKA, AK US",67.6853,-154.4731,914.4,ALASKA
USC00506581,"NORTH POLE, AK US",64.7581,-147.3253,144.8,ALASKA
US1AKMS0014,"WASILLA 2.7 NW, AK US",61.6058,-149.5233,150.3,ALASKA
USR0000ACOV,"COVILLE ALASKA, AK US",58.8025,-155.5628,457.2,ALASKA
USW00026616,"KOTZEBUE AIRPORT, AK US",66.88569,-162.6068,3.4,ALASKA
USC00505136,"KUPARUK, AK US",70.3289,-149.6114,19.5,ALASKA
USW00026617,"NOME AIRPORT, AK US",64.51112,-165.44002,5.4,ALASKA
USS0051K05S,"ANCHOR RIVER DIVIDE, AK US",59.86,-151.32,503.8,ALASKA
USS0049L09S,"GRANDVIEW, AK US",60.61,-149.06,335.3,ALASKA
US1AKMS0019,"TRAPPER CREEK 8.5 SSW, AK US",62.1329,-150.5371,111.6,ALASKA
USR0000ACOA,"COAL CREEK ALASKA, AK US",65.3139,-143.1322,265.2,ALASKA
USR0000ASNI,"SNIPE LAKE ALASKA, AK US",60.6103,-154.32,701,ALASKA
USW00026502,"KALTAG AIRPORT, AK US",64.3208,-158.7326,52.6,ALASKA
USW00000113,"ROBERT BOB CURTIS MEMORIAL AIRPORT, AK US",66.818,-161.022,17.1,ALASKA
USW00000111,"SHAKTOOLIK AIRPORT, AK US",64.37,-161.224,7,ALASKA
USW00026501,"GALENA AIRPORT, AK US",64.73667,-156.93444,46.6,ALASKA
USC00507783,"PUNTILLA, AK US",62.0911,-152.7349,566.3,ALASKA
US1AKMS0026,"TRAPPER CREEK 2.2 N, AK US",62.28062,-150.42229,129.2,ALASKA
US1AKMS0025,"PALMER 2.7 SW, AK US",61.5678,-149.1616,39.3,ALASKA
USR0000AERV,"EAGLE RIVER ALASKA, AK US",61.2725,-149.3661,128,ALASKA
USW00025516,"SELDOVIA AIRPORT, AK US",59.44597,-151.70653,8.7,ALASKA
US1AKMS0022,"CHICKALOON 1.7 WSW, AK US",61.785933,-148.529285,314.9,ALASKA
US1AKMS0021,"PALMER 7.1 WSW, AK US",61.5573,-149.3078,70.7,ALASKA
USR0000AMAN,"MANCHU ALASKA, AK US",64.7,-147.0167,204.5,ALASKA
USW00026615,"BETHEL AIRPORT, AK US",60.78497,-161.82931,32.6,ALASKA
USC00508505,"SITKA WATER TREATMENT PLANT, AK US",57.0466,-135.3497,10.7,ALASKA
USR0000ATOK,"TOK RIVER VALLEY ALASKA, AK US",62.9572,-143.3467,701,ALASKA
USS0048L06S,"ESTHER ISLAND, AK US",60.8,-148.09,15.2,ALASKA
USW00023583,"ALEKNAGIK 1 NNE, AK US",59.284,-158.6145,24.4,ALASKA
USW00025522,"KING SALMON 42 SE, AK US",58.2077,-155.9225,201.5,ALASKA
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,ALASKA
USC00507570,"PORT ALSWORTH, AK US",60.2036,-154.3163,79.2,ALASKA
USW00000490,"SHUNGNAK AIRPORT, AK US",66.88808,-157.16241,62.8,ALASKA
USR0000ACHS,"CHISTOCHINA ALASKA, AK US",62.5653,-144.6647,701,ALASKA
USC00509869,"WISEMAN, AK US",67.40822,-150.10958,360,ALASKA
USC00509747,"WALLY NOERENBERG HATCHERY, AK US",60.7986,-148.0872,10.7,ALASKA
USR0000ACHT,"CHITNA ALASKA, AK US",61.5319,-144.4397,177.1,ALASKA
USW00026643,"DEERING AIRPORT, AK US",66.06957,-162.76142,5.4,ALASKA
USW00026523,"KENAI AIRPORT, AK US",60.57909,-151.24152,30.2,ALASKA
USW00026644,"ANVIK AIRPORT, AK US",62.65,-160.18333,26.8,ALASKA
US1AKYK0001,"YAKUTAT 2.5 SE, AK US",59.5370498,-139.7032394,17.1,ALASKA
USW00026642,"KIVALINA AIRPORT, AK US",67.7306,-164.54788,5.7,ALASKA
USC00507442,"POINT LAY, AK US",69.73288,-163.00533,3.2,ALASKA
USR0000ACHM,"CHIMNEY LAKE ALASKA, AK US",67.7558,-150.4933,944.9,ALASKA
USR0000APAX,"PAXSON ALASKA, AK US",62.9453,-145.5014,813.8,ALASKA
USW00026628,"GOLOVIN AIRPORT, AK US",64.55044,-163.00716,7.6,ALASKA
USR0000ACHC,"CHICKEN CREEK ALASKA, AK US",62.1242,-141.8453,1597.2,ALASKA
USS0041P07S,"AMERICAN CREEK, AK US",64.79,-141.23,320,ALASKA
USR0000ACHG,"CHIGMIT MTNS ALASKA, AK US",60.2233,-153.4664,1371.6,ALASKA
USR0000ACHI,"CHISANA ALASKA, AK US",62.1333,-142.0833,1011.3,ALASKA
USR0000AREI,"REINDEER RIVER ALASKA, AK US",61.7161,-162.665,42.7,ALASKA
USR0000AWON,"WONDER LAKE ALASKA, AK US",63.4903,-150.8714,646.2,ALASKA
USR0000ACHA,"CHATANIKA ALASKA, AK US",65.0167,-148.5833,442,ALASKA
USR0000APAM,"PAMICHTUK LAKE ALASKA, AK US",67.7719,-152.195,823,ALASKA
USR0000APAL,"PORT ALSWORTH ALASKA, AK US",60.1958,-154.32,79.2,ALASKA
USR0000AREN,"RENEE ALASKA, AK US",62.71,-146.6181,792.5,ALASKA
USW00026635,"MOUNTAIN VILLAGE AIRPORT, AK US",62.09528,-163.68194,102.7,ALASKA
USC00508525,"SKAGWAY, AK US",59.4547,-135.3136,10.7,ALASKA
USW00026510,"MCGRATH AIRPORT, AK US",62.9574,-155.61009,101,ALASKA
USR0000ACKN,"CHICKEN ALASKA, AK US",64.06,-141.9294,871.7,ALASKA
USR0000ABIL,"BIG LAKE ALASKA, AK US",61.5183,-149.9078,30.5,ALASKA
USW00025329,"PETERSBURG 1, AK US",56.8055,-132.9372,32.6,ALASKA
US1AKAB0021,"EAGLE RIVER 2.6 ESE, AK US",61.312243,-149.495798,243.5,ALASKA
USC00509891,"NORTH POLE 1 N, AK US",64.76,-147.34,151.2,ALASKA
US1AKVC0008,"GLENNALLEN 3.2 NE, AK US",62.113896,-145.525639,445.6,ALASKA
US1AKVC0006,"PAXSON 10.8 SSE, AK US",62.939359,-145.517247,791,ALASKA
USW00000393,"TELLER AIRPORT, AK US",65.233,-166.35,89,ALASKA
USW00025331,"PALMER AIRPORT, AK US",61.59505,-149.09175,70.9,ALASKA
US1AKAB0015,"ANCHORAGE 5.0 ESE, AK US",61.194492,-149.757292,68.9,ALASKA
USW00025339,"YAKUTAT AIRPORT, AK US",59.51211,-139.67103,12.6,ALASKA
USW00027516,"UTQIA VIK FORMERLY BARROW 4 ENE, AK US",71.3213,-156.611,4.6,ALASKA
